url;ID;Operacion;Propiedad;Titulo;Currency;Precio;Ubicacion;Antiguedad;Superficie total;Superficie útil;Dormitorios;Baños
https://www.portalinmobiliario.com/MLC-1535035323-hermosa-casa-con-historia-en-punta-arenas-_JM;1535035323;Venta;Casas;Hermosa Casa Con Historia En Punta Arenas;UF;18328;Punta Arenas, Punta Arenas, Magallanes;104;345;202;4;1
https://www.portalinmobiliario.com/MLC-1500260853-excelente-propiedad-en-venta-a-metros-del-centro-_JM;1500260853;Venta;Casas;Excelente Propiedad En Venta A Metros Del Centro;CLP;250000000;Punta Arenas, Punta Arenas, Magallanes;115;312;79;2;1
https://www.portalinmobiliario.com/MLC-2752511676-hermosa-casa-en-condominio-sector-norte-de-punta--_JM;2752511676;Venta;Casas;Hermosa Casa En Condominio, Sector Norte De Punta ...;UF;9400;Punta Arenas, Punta Arenas, Magallanes;24;940;159;2;3
https://www.portalinmobiliario.com/MLC-2771425578-casa-en-sector-residencial-a-pasos-de-costanera-en-_JM;2771425578;Venta;Casas;Casa En Sector Residencial A Pasos De Costanera En...;UF;8300;Punta Arenas, Punta Arenas, Magallanes;24;450;136;5;2
https://www.portalinmobiliario.com/MLC-2616756900-acogedora-casa-en-condominio-patagonia-_JM;2616756900;Venta;Casas;Acogedora Casa En Condominio Patagonia;CLP;170000000;Punta Arenas, Punta Arenas, Magallanes;8;193;85;3;2
https://www.portalinmobiliario.com/MLC-2598470006-excelente-casa-con-departamento-independiente-_JM;2598470006;Venta;Casas;¡excelente Casa Con Departamento Independiente!;CLP;238000000;Punta Arenas, Punta Arenas, Magallanes;10;108;108;3;2
https://www.portalinmobiliario.com/MLC-1528120859-comoda-casa-sector-rio-los-ciervos-_JM;1528120859;Venta;Casas;Cómoda Casa Sector Rio Los Ciervos;CLP;299000000;Punta Arenas, Punta Arenas, Magallanes;11;621;181;3;2
https://www.portalinmobiliario.com/MLC-1546158671-inversion-versatil-propiedad-unica-con-tres-casa-_JM;1546158671;Venta;Casas;¡inversión Versátil! Propiedad Única Con Tres Casa...;CLP;290000000;Punta Arenas, Punta Arenas, Magallanes;13;455;182;6;3
https://www.portalinmobiliario.com/MLC-1494053767-hermosa-propiedad-en-sector-norte-punta-arenas-_JM;1494053767;Venta;Casas;Hermosa Propiedad En Sector Norte, Punta Arenas;CLP;270000000;Punta Arenas, Punta Arenas, Magallanes;22;307;147;3;2
https://www.portalinmobiliario.com/MLC-1500592373-hermosa-casa-tipo-chalet-_JM;1500592373;Venta;Casas;Hermosa Casa Tipo Chalet;UF;19000;Punta Arenas, Punta Arenas, Magallanes;94;720;263;4;2
https://www.portalinmobiliario.com/MLC-1538351179-casa-con-excelente-ubicacion-en-barrio-muy-tranqui-_JM;1538351179;Venta;Casas;Casa Con Excelente Ubicación En Barrio Muy Tranqui...;CLP;230000000;Punta Arenas, Punta Arenas, Magallanes;54;197;90;3;2
https://www.portalinmobiliario.com/MLC-2758191368-increible-propiedad-y-terreno-a-la-venta-zona-del--_JM;2758191368;Venta;Casas;Increíble Propiedad Y Terreno A La Venta Zona Del ...;UF;24182;N°6486 Leñadura, Punta Arenas, Magallanes;34;3300;175;4;3
https://www.portalinmobiliario.com/MLC-2505196328-acogedora-propiedad-en-villa-el-bosque-_JM;2505196328;Venta;Casas;Acogedora Propiedad En Villa El Bosque;UF;14930;Punta Arenas, Punta Arenas, Magallanes;32;751;230;5;4
https://www.portalinmobiliario.com/MLC-2644164188-casa-ideal-para-uso-comercial-en-barrio-prat-_JM;2644164188;Venta;Casas;Casa Ideal Para Uso Comercial En Barrio Prat;CLP;295000000;Punta Arenas, Punta Arenas, Magallanes;2;400;274;4;3
https://www.portalinmobiliario.com/MLC-1538402589-casa-en-excelente-ubicacion-en-punta-arenas-_JM;1538402589;Venta;Casas;Casa En Excelente Ubicación En Punta Arenas;CLP;250000000;Punta Arenas, Punta Arenas, Magallanes;64;178.63;129;3;2
https://www.portalinmobiliario.com/MLC-2761832620-amplia-casa-en-barrio-18-de-septiembre-punta-aren-_JM;2761832620;Venta;Casas;Amplia Casa En Barrio 18 De Septiembre- Punta Aren...;CLP;210000000;Punta Arenas, Punta Arenas, Magallanes;65;330;150;4;1
https://www.portalinmobiliario.com/MLC-1500618345-casa-en-sector-norte-punta-arenas-_JM;1500618345;Venta;Casas;Casa En Sector Norte, Punta Arenas.;CLP;210000000;Punta Arenas, Punta Arenas, Magallanes;10;231;133;4;2
https://www.portalinmobiliario.com/MLC-2653170944-casa-excelente-conectividad-_JM;2653170944;Venta;Casas;Casa Excelente Conectividad;CLP;153000000;Punta Arenas, Punta Arenas, Magallanes;64;230;95;5;1
https://www.portalinmobiliario.com/MLC-1494028451-casa-sector-pedro-aguirre-cerda-_JM;1494028451;Venta;Casas;Casa Sector Pedro Aguirre Cerda;CLP;165000000;Punta Arenas, Punta Arenas, Magallanes;22;200;129;3;1
https://www.portalinmobiliario.com/MLC-2675271880-amplia-casa-sector-norte-punta-arenas-_JM;2675271880;Venta;Casas;Amplia Casa, Sector Norte, Punta Arenas.;UF;8450;Punta Arenas, Punta Arenas, Magallanes;47;210;152;4;3
https://www.portalinmobiliario.com/MLC-1528146689-casa-para-uso-habitacional-o-comercial-sector-cen-_JM;1528146689;Venta;Casas;Casa Para Uso Habitacional O Comercial, Sector Cen...;UF;16194;Punta Arenas, Punta Arenas, Magallanes;44;500;400;4;4
https://www.portalinmobiliario.com/MLC-2750793598-casa-con-excelente-ubicacion-zona-norte-_JM;2750793598;Venta;Casas;Casa Con Excelente Ubicación- Zona Norte;UF;6060;Punta Arenas, Punta Arenas, Magallanes;39;182;115;4;2
https://www.portalinmobiliario.com/MLC-1542600491-se-vende-casa-en-sector-centro-norte-inmejorable--_JM;1542600491;Venta;Casas;Se Vende Casa En Sector Centro Norte ¡inmejorable ...;CLP;250000000;Punta Arenas, Punta Arenas, Magallanes;65;197;155;4;2
https://www.portalinmobiliario.com/MLC-2770289892-casa-excelente-ubicacion-_JM;2770289892;Venta;Casas;Casa Excelente Ubicación;UF;6930;Punta Arenas, Punta Arenas, Magallanes;29;241;177;3;1
